City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Conceicao Do Araguaia,BR,79.52,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
7,Butaritari,KI,81.1,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Macau,MO,80.4,light intensity shower rain,22.2006,113.5461,Grand Emperor Hotel
13,Taylorville,US,80.49,clear sky,39.5489,-89.2945,Economy Inn
14,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Kirakira,SB,83.57,scattered clouds,-10.4544,161.9205,SanBiz Lodge
19,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
23,Hami,CN,77.14,scattered clouds,42.8,93.45,Laoyutang Resort
29,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
30,Tianpeng,CN,80.73,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
36,Eydhafushi,MV,81.84,overcast clouds,5.1033,73.0708,Soneva Fushi
59,Meulaboh,ID,77.05,overcast clouds,4.1363,96.1285,Kost Pria
63,Alta Floresta,BR,75.02,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
64,Hamilton,US,78.24,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
65,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
74,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
81,Itarema,BR,75.33,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
83,Warri,NG,75.81,overcast clouds,5.5167,5.75,BON Hotel Delta
87,Touros,BR,75.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
90,Kidal,ML,89.04,clear sky,18.4411,1.4078,
100,Ixtapa,MX,81.63,few clouds,20.7,-105.2,hotel la terminal
104,Pacific Grove,US,78.39,clear sky,36.6177,-121.9166,Lovers Point Inn
108,Puerto Escondido,MX,81.54,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
110,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
113,Hilo,US,90.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
116,Myitkyina,MM,75.15,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
118,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
119,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
123,Nishihara,JP,75.25,shower rain,26.1842,127.7558,Minshuku Agaihama
127,Save,BJ,76.96,overcast clouds,8.0425,2.486,Le Cercle du Rail
128,College,US,75.58,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
130,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
134,Toma,BF,82.92,light rain,12.7667,-2.8833,Auberge de l'amitié
136,Luis Correia,BR,75.49,broken clouds,-2.8792,-41.6669,Hotel Amarração
140,Faanui,PF,80.53,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Kapaa,US,82.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
144,Atuona,PF,77.94,clear sky,-9.8,-139.0333,Villa Enata
146,Merauke,ID,83.46,scattered clouds,-8.4667,140.3333,
147,Koumac,NC,81.28,broken clouds,-20.5667,164.2833,Le Monitel
149,Kushima,JP,77.25,scattered clouds,31.4583,131.2333,Hanaoka
151,Hithadhoo,MV,82.44,overcast clouds,-0.6,73.0833,Scoop Guest House
156,Acapulco,MX,81.21,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
160,Korla,CN,75.85,clear sky,41.7597,86.1469,Gulisitan Hotel
161,Progreso,MX,75.31,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
163,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
164,Fulton,US,80.1,broken clouds,33.7668,-84.4499,The Blue Door
175,Vao,NC,75.76,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
185,Anloga,GH,80.76,few clouds,5.7947,0.8973,Pin Drop Hotel
186,Xinzhi,CN,84.61,clear sky,36.4989,111.7047,Mingyue Hotel
191,Biak,ID,81.45,scattered clouds,-0.9131,122.8766,Penginapan Kim
193,Tabas,IR,83.61,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
201,Islamkot,PK,79.88,clear sky,24.6997,70.177,Haji Hotel
203,Tadine,NC,77.68,overcast clouds,-21.55,167.8833,
204,Manokwari,ID,82.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
205,Gazli,UZ,82.33,clear sky,40.1333,63.45,
206,Isla Vista,US,84.34,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
208,Lorengau,PG,84.49,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
209,Banjar,ID,82.35,overcast clouds,-8.19,114.9675,The Hamsa Resort
210,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
212,Natal,BR,77.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
214,Axim,GH,78.24,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
215,Yakima,US,76.17,clear sky,46.4665,-120.6678,
218,Sinjai,ID,82.78,overcast clouds,-5.1241,120.253,Wisma Sandika
226,Dingle,PH,84.58,few clouds,10.9995,122.6711,SEGAYA PROPERTY
230,Kanniyakumari,IN,79.09,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
232,Salalah,OM,81.05,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
233,Victoria,HK,81.97,overcast clouds,22.2855,114.1577,Mini Central
238,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
242,Tura,IN,76.68,light rain,25.5198,90.2201,Hotel RIKMAN Continental
243,Mbamba,NG,76.06,overcast clouds,9.9833,13.1,
246,Americus,US,87.93,clear sky,32.0724,-84.2327,Best Western Plus Windsor Hotel
252,Kloulklubed,PW,83.08,broken clouds,7.0419,134.2556,Storyboard Beach Resort
253,Kaset Sombun,TH,80.37,light rain,16.2805,101.9542,BoonTewa Hotel
254,Manggar,ID,83.07,overcast clouds,-2.8833,108.2667,Guest Hotel
259,San Antero,CO,79.43,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
269,Avera,US,81.91,overcast clouds,33.194,-82.5271,
277,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
278,San Patricio,US,88.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
279,Kutum,SD,77.49,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
280,Contamana,PE,75.72,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
285,Cockburn Town,TC,80.17,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
286,Poya,NC,79.54,overcast clouds,-21.35,165.15,
288,San-Pedro,CI,77.04,broken clouds,4.7485,-6.6363,Hotel Maria
290,Kavaratti,IN,82.8,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
291,Bac Lieu,VN,83.41,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
292,Bengkulu,ID,76.53,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
