City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.06,53,100,13.8,overcast clouds
1,Conceicao Do Araguaia,BR,-8.2578,-49.2647,79.52,55,100,2.59,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,65.12,46,8,6.78,clear sky
3,Okhotsk,RU,59.3833,143.3,49.68,86,95,3.4,overcast clouds
4,Lagoa,PT,39.05,-27.9833,64.2,94,100,15.9,overcast clouds
5,Grand Gaube,MU,-20.0064,57.6608,71.38,78,4,3.0,clear sky
6,Jamestown,US,42.097,-79.2353,60.44,73,100,10.36,overcast clouds
7,Butaritari,KI,3.0707,172.7902,81.1,78,27,12.3,light rain
8,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,60,3.0,broken clouds
9,Busselton,AU,-33.65,115.3333,58.05,55,91,19.51,overcast clouds
10,Ribeira Grande,PT,38.5167,-28.7,65.43,94,65,11.3,broken clouds
11,Macau,MO,22.2006,113.5461,80.4,94,40,13.8,light intensity shower rain
12,Punta Arenas,CL,-53.15,-70.9167,42.91,65,75,11.5,broken clouds
13,Taylorville,US,39.5489,-89.2945,80.49,50,0,0.0,clear sky
14,Vaini,TO,-21.2,-175.2,78.96,69,20,11.5,few clouds
15,Kirakira,SB,-10.4544,161.9205,83.57,75,41,8.79,scattered clouds
16,Sopot,PL,54.4418,18.56,62.96,85,100,3.44,overcast clouds
17,Kodiak,US,57.79,-152.4072,54.91,67,100,12.66,overcast clouds
18,Kaitangata,NZ,-46.2817,169.8464,52.59,68,100,5.1,overcast clouds
19,Boa Vista,BR,2.8197,-60.6733,80.58,74,20,2.3,few clouds
20,Rikitea,PF,-23.1203,-134.9692,73.24,58,44,11.86,scattered clouds
21,Hobart,AU,-42.8794,147.3294,49.05,71,75,9.22,broken clouds
22,Mayo,US,38.8876,-76.5119,73.98,87,100,13.8,overcast clouds
23,Hami,CN,42.8,93.45,77.14,16,42,17.22,scattered clouds
24,Kigorobya,UG,1.6162,31.3089,66.65,77,100,5.12,overcast clouds
25,Nikolskoye,RU,59.7035,30.7861,49.91,71,71,5.19,broken clouds
26,New Norfolk,AU,-42.7826,147.0587,48.7,82,99,1.99,overcast clouds
27,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,0,1.52,clear sky
28,Huilong,CN,31.8111,121.655,71.92,66,74,8.34,broken clouds
29,Pekan,MY,3.4836,103.3996,77.11,88,100,2.8,overcast clouds
30,Tianpeng,CN,30.9866,103.9393,80.73,72,100,7.29,overcast clouds
31,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,60,7.96,light rain
32,Tiznit,MA,29.5833,-9.5,73.38,36,0,1.68,clear sky
33,Saskylakh,RU,71.9167,114.0833,51.12,50,4,11.97,clear sky
34,Khatanga,RU,71.9667,102.5,55.74,50,100,18.1,overcast clouds
35,Tres Arroyos,AR,-38.3739,-60.2798,50.09,70,2,8.32,clear sky
36,Eydhafushi,MV,5.1033,73.0708,81.84,72,100,10.42,overcast clouds
37,Grindavik,IS,63.8424,-22.4338,53.55,76,75,3.44,broken clouds
38,Cape Town,ZA,-33.9258,18.4232,69.12,44,0,10.36,clear sky
39,Roebourne,AU,-20.7833,117.1333,68.95,44,100,17.31,overcast clouds
40,Vila Velha,BR,-20.3297,-40.2925,69.75,77,0,5.75,clear sky
41,Nelson Bay,AU,-32.7167,152.15,55.11,55,3,5.01,clear sky
42,Albany,US,42.6001,-73.9662,65.95,88,100,3.0,overcast clouds
43,Alekseyevka,RU,50.6309,38.6903,54.88,84,0,3.22,clear sky
44,Qaanaaq,GL,77.484,-69.3632,29.14,93,100,4.25,overcast clouds
45,Erenhot,CN,43.6475,111.9767,64.81,33,100,4.68,overcast clouds
46,Grakhovo,RU,56.0502,51.9676,51.1,97,100,17.2,overcast clouds
47,Uige,AO,-7.6087,15.0613,61.66,52,5,3.31,clear sky
48,Algiers,DZ,36.7525,3.042,66.02,94,20,2.3,mist
49,Mar Del Plata,AR,-38.0023,-57.5575,54.09,82,90,2.3,overcast clouds
50,Naryan-Mar,RU,67.6713,53.087,56.88,67,82,11.23,broken clouds
51,Yangambi,CD,0.8102,24.4336,69.67,77,100,1.34,overcast clouds
52,Prainha,BR,-1.8,-53.48,72.82,96,100,2.98,overcast clouds
53,Mataura,NZ,-46.1927,168.8643,52.48,70,91,1.48,overcast clouds
54,Asau,RO,46.4333,26.4,55.96,90,77,3.15,broken clouds
55,Pevek,RU,69.7008,170.3133,37.35,79,32,5.28,scattered clouds
56,Santiago,CL,-33.4569,-70.6483,57.85,69,0,6.91,clear sky
57,Masallatah,LY,32.6167,14.0,74.73,53,9,4.99,clear sky
58,Guangyuan,CN,32.442,105.823,73.36,82,100,2.24,overcast clouds
59,Meulaboh,ID,4.1363,96.1285,77.05,77,100,3.15,overcast clouds
60,Arkadak,RU,51.9326,43.4978,48.27,89,0,6.51,clear sky
61,Barrow,US,71.2906,-156.7887,28.42,86,100,11.5,overcast clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,88,0,2.3,clear sky
63,Alta Floresta,BR,-9.8756,-56.0861,75.02,83,0,1.14,clear sky
64,Hamilton,US,39.1834,-84.5333,78.24,80,40,9.22,scattered clouds
65,Road Town,VG,18.4167,-64.6167,82.49,78,40,8.05,scattered clouds
