City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Weligama,LK,2022-06-05 19:01:19,5.9667,80.4167,77.5,90,100,10.54
1,Bardsir,IR,2022-06-05 19:01:19,29.9227,56.5743,67.64,18,0,3.67
2,Beloha,MG,2022-06-05 19:01:20,-25.1667,45.05,67.39,85,99,5.08
3,Chokurdakh,RU,2022-06-05 19:01:20,70.6333,147.9167,45.7,48,76,9.66
4,Mataura,NZ,2022-06-05 19:01:20,-46.1927,168.8643,39.47,96,0,3.49
5,Boden,SE,2022-06-05 19:01:21,65.8252,21.6886,55.4,46,15,11.56
6,Hermanus,ZA,2022-06-05 19:01:21,-34.4187,19.2345,59.81,67,29,8.32
7,Kholbon,RU,2022-06-05 19:01:21,51.8833,116.25,52.83,53,37,1.19
8,Busselton,AU,2022-06-05 19:01:22,-33.65,115.3333,55.31,75,100,8.77
9,Cidreira,BR,2022-06-05 19:00:12,-30.1811,-50.2056,62.31,95,100,4.14
10,Margate,GB,2022-06-05 18:57:17,51.3813,1.3862,58.69,90,100,3.0
11,Fortuna,US,2022-06-05 19:01:23,40.5982,-124.1573,61.66,89,99,5.86
12,Kapaa,US,2022-06-05 19:01:23,22.0752,-159.319,76.48,85,1,1.01
13,Kamaishi,JP,2022-06-05 19:01:23,39.2667,141.8833,50.85,91,100,5.97
14,Agadir,MA,2022-06-05 19:01:24,30.4202,-9.5982,77.45,63,24,4.74
15,Lebu,CL,2022-06-05 19:01:24,-37.6167,-73.65,53.64,94,100,16.69
16,Albany,US,2022-06-05 18:57:49,42.6001,-73.9662,76.59,33,15,1.99
17,Sovetskiy,RU,2022-06-05 19:01:25,61.3614,63.5842,42.75,51,0,5.61
18,New Norfolk,AU,2022-06-05 19:01:25,-42.7826,147.0587,49.91,84,100,5.01
19,Kavaratti,IN,2022-06-05 19:01:25,10.5669,72.642,83.59,76,100,14.83
20,Zhigansk,RU,2022-06-05 19:01:26,66.7697,123.3711,56.43,43,91,5.17
21,Tiksi,RU,2022-06-05 19:01:26,71.6872,128.8694,45.27,80,87,3.87
22,Kaitangata,NZ,2022-06-05 19:01:27,-46.2817,169.8464,42.73,90,1,4.63
23,Jamestown,US,2022-06-05 18:59:41,42.097,-79.2353,75.02,24,90,7.0
24,Ushuaia,AR,2022-06-05 19:01:26,-54.8,-68.3,35.96,83,100,11.74
25,Bandarbeyla,SO,2022-06-05 19:01:28,9.4942,50.8122,79.61,83,100,21.45
26,Bredasdorp,ZA,2022-06-05 19:01:28,-34.5322,20.0403,55.38,90,10,3.24
27,Seymchan,RU,2022-06-05 19:01:28,62.8833,152.4333,59.02,51,63,2.37
28,Vestmannaeyjar,IS,2022-06-05 19:01:29,63.4427,-20.2734,50.2,92,100,18.57
29,Norman Wells,CA,2022-06-05 19:01:29,65.282,-126.8329,56.97,43,80,1.36
30,Geraldton,AU,2022-06-05 19:01:29,-28.7667,114.6,48.61,71,5,6.91
31,Anaconda,US,2022-06-05 19:01:30,46.1285,-112.9423,52.32,82,100,2.8
32,Faanui,PF,2022-06-05 19:01:30,-16.4833,-151.75,79.81,75,30,12.21
33,Talnakh,RU,2022-06-05 19:01:30,69.4865,88.3972,25.79,84,20,4.41
34,Barrow,US,2022-06-05 18:57:34,71.2906,-156.7887,30.99,81,9,20.13
35,Auray,FR,2022-06-05 19:01:31,47.6703,-2.9918,62.74,72,5,13.0
36,High Level,CA,2022-06-05 19:00:07,58.5169,-117.136,70.52,36,100,11.39
37,Kirakira,SB,2022-06-05 19:01:31,-10.4544,161.9205,78.89,86,68,11.32
38,Linares,CL,2022-06-05 19:01:32,-35.85,-71.6,55.74,78,98,5.57
39,Sitka,US,2022-06-05 19:01:32,57.0531,-135.33,64.47,51,100,2.71
40,Nueva Loja,EC,2022-06-05 19:01:33,0.0847,-76.8828,75.69,83,88,2.39
41,Kaeo,NZ,2022-06-05 19:01:33,-35.1,173.7833,56.32,96,99,4.56
42,Kralendijk,BQ,2022-06-05 19:01:34,12.15,-68.2667,80.74,86,8,21.9
43,Nyurba,RU,2022-06-05 19:01:34,63.2842,118.3319,56.68,97,100,5.79
44,Nandu,CN,2022-06-05 19:02:34,22.8525,110.8233,77.14,93,96,3.96
45,Vaini,TO,2022-06-05 19:02:35,-21.2,-175.2,75.85,78,74,7.63
46,Am Timan,TD,2022-06-05 19:02:35,11.0297,20.2827,90.32,36,100,3.4
47,Aklavik,CA,2022-06-05 19:02:36,68.2191,-135.0107,37.94,56,85,5.97
48,Hamilton,US,2022-06-05 19:02:36,39.1834,-84.5333,85.62,40,20,3.44
49,Bengkulu,ID,2022-06-05 19:02:36,-3.8004,102.2655,76.46,87,100,5.01
50,Port Blair,IN,2022-06-05 19:02:37,11.6667,92.75,79.52,85,100,9.86
51,Camacha,PT,2022-06-05 19:02:37,33.0833,-16.3333,63.82,72,20,12.66
52,Tuatapere,NZ,2022-06-05 19:02:37,-46.1333,167.6833,45.01,91,6,5.39
53,Nikolskoye,RU,2022-06-05 19:02:38,59.7035,30.7861,58.91,76,74,4.7
54,Jalu,LY,2022-06-05 19:02:38,29.0331,21.5482,86.02,28,0,19.77
55,Cherskiy,RU,2022-06-05 19:02:38,68.75,161.3,37.11,61,58,10.71
56,Cape Town,ZA,2022-06-05 19:02:07,-33.9258,18.4232,64.38,67,9,3.87
57,Bluff,NZ,2022-06-05 19:02:39,-46.6,168.3333,39.79,87,10,9.48
58,Zurrieq,MT,2022-06-05 19:02:39,35.8311,14.4742,78.31,53,0,5.75
59,Vao,NC,2022-06-05 19:02:40,-22.6667,167.4833,73.11,70,10,6.38
60,Evensk,RU,2022-06-05 19:02:40,61.95,159.2333,44.65,88,100,2.75
61,Lata,PT,2022-06-05 19:02:40,40.1629,-8.3327,64.36,60,44,6.49
62,Arraial Do Cabo,BR,2022-06-05 18:58:53,-22.9661,-42.0278,73.36,49,20,12.66
63,Auki,SB,2022-06-05 19:02:41,-8.7676,160.7034,77.32,85,99,4.76
64,Saint-Denis,FR,2022-06-05 19:02:41,48.9167,2.3333,69.06,85,75,9.22
65,Celestun,MX,2022-06-05 19:02:42,20.8667,-90.4,84.06,65,27,10.6
66,Mar Del Plata,AR,2022-06-05 19:00:04,-38.0023,-57.5575,54.95,78,100,1.99
67,Souillac,MU,2022-06-05 19:02:42,-20.5167,57.5167,72.34,76,0,13.35
68,Harlingen,US,2022-06-05 19:00:14,26.1906,-97.6961,93.29,31,0,16.33
69,Nantucket,US,2022-06-05 18:58:32,41.2835,-70.0995,70.14,75,0,6.6
70,Kiunga,PG,2022-06-05 19:02:43,-6.1219,141.2906,70.86,99,26,0.63
71,Dingle,PH,2022-06-05 19:02:43,10.9995,122.6711,75.79,91,100,1.19
72,Borgarnes,IS,2022-06-05 19:02:43,64.5383,-21.9206,50.81,89,100,6.4
73,Makakilo City,US,2022-06-05 19:02:44,21.3469,-158.0858,79.2,63,0,5.32
74,Healdsburg,US,2022-06-05 19:02:44,38.6105,-122.8692,68.9,89,100,6.91
75,Susanville,US,2022-06-05 19:00:04,40.4163,-120.653,62.44,70,75,9.22
76,Kincardine,GB,2022-06-05 19:00:25,56.0667,-3.7167,60.78,77,93,7.11
77,Namibe,AO,2022-06-05 19:02:45,-15.1961,12.1522,74.66,50,79,7.43
78,Avarua,CK,2022-06-05 19:02:45,-21.2078,-159.775,77.05,94,23,3.44
79,Punta Arenas,CL,2022-06-05 19:02:46,-53.15,-70.9167,48.11,49,100,15.46
80,Namanga,KE,2022-06-05 19:02:46,-2.5433,36.7905,61.99,79,20,3.78
